business_name,idstd,owner_age,owner_female,owner_education,hh_vulnerability,sector_experience,mgmt_practices_index,social_capital,push_entrepreneur,employment_regular,revenue_regular_usd,business_age,sector_food,location_type,formality_status,technology_index,operating_intensity,recordkeeping_index,has_loan,collateral_proxy,income_stable,financial_literacy_proxy,regulatory_barriers,institutional_quality,market_infrastructure,performance_index,formalization_readiness,resilience_proxy,efficiency_score,equity_score,sustainability_score,dominant_objective
Bengkel Bahagia 001,1321958,31,0,4,0.45777935126563984,11,0.02888817227196183,0.9010844242106811,0.8177882697803505,4,818.7390804583168,28,1,2,0,0.3013832697000378,0.4150754565597362,0.6639849439544718,0,0.06576318649188229,0.24600163799191577,0.363602277495093,0.74677278038143,0.02693346534237695,0.9013856514730993,0.24846700258681687,0.6292426911062574,0.07318590091608657,20.8058,28.3112,22.5009,Equity
Warung Jaya 002,1346867,68,1,3,0.016305901786504817,10,0.7808473448187374,0.8935437134032538,0.5950760695962649,5,409.90681843844385,18,1,2,0,0.7990545937688205,0.5366544214998632,0.7305931415886754,0,0.38028404761492507,0.12393980289489614,0.6157192625787762,0.8112109934355524,0.6244760715553082,0.8228198946192152,0.8800803017834437,0.8666174907686184,0.4195097324654321,43.2734,45.6522,52.0475,Sustainability
Kedai Murah 003,1331932,36,0,4,0.17406413740730842,17,0.5208770457581069,0.7888203063522529,0.008618727598900366,5,1356.621226371691,14,0,1,0,0.1562466828881267,0.07397429154406321,0.1652919762185563,0,0.2787050332250395,0.9734600556245971,0.6191831918262994,0.4810575219158121,0.2646504387522902,0.8833528602557608,0.4069935563009829,0.6762610121883849,0.907035023003653,30.2511,16.9626,46.2109,Sustainability
Kedai Bahagia 004,1303694,61,1,4,0.48851363999575304,13,0.37052933277971145,0.6919811251435176,0.06872820157239978,3,364.8879151274694,25,1,2,0,0.7250824854930812,0.7996674711062443,0.04014600973807325,0,0.944062414954669,0.04001232570581137,0.17564366949626176,0.6219518769929909,0.6282706096950232,0.05379618625600746,0.9196206547004798,0.2646178859015328,0.16873105985172332,38.4426,59.5405,43.8152,Equity
Bengkel Murni 005,1319879,49,1,3,0.8226534590503691,34,0.9653829763588241,0.6550794802922452,0.7526395594523189,4,1092.380154247851,10,0,1,0,0.12998630926692756,0.8565471754365767,0.5371289176449957,0,0.027273956983245973,0.4161797309323193,0.9404470256433013,0.978539911784129,0.2649173665499017,0.7615784915823165,0.5997120368251402,0.472258282804505,0.8621326466687552,64.6471,77.9061,56.5634,Equity
Warung Indah 006,1310268,48,0,2,0.27872700672712414,5,0.16011954723605304,0.10609383770385528,0.44652778958519435,4,367.5319057527437,20,1,4,0,0.4962338365453428,0.5923216576298682,0.3303283376026498,0,0.9788452471099693,0.4933980422186196,0.5277400739894634,0.33747063071855365,0.09591575822854903,0.3696010305231473,0.008234380759345461,0.26907168971890627,0.7697504141951352,25.9341,31.1491,46.6919,Sustainability
Perniagaan Maju 007,1254886,38,1,1,0.522643433131149,10,0.5413251190911065,0.9005662353184541,0.40550779174354057,4,408.2620706362086,22,0,1,0,0.7363839387805174,0.9789956638451784,0.042657906720581784,1,0.5867172965058511,0.7107461916757093,0.39082506409540574,0.8499765770172123,0.17825886614323883,0.18836394781725974,0.3308267848589683,0.33846301646746424,0.5612875674769888,49.3429,75.9057,53.794,Equity
Warung Bahagia 008,1337337,65,1,4,0.3449620847592322,32,0.3209814735924784,0.8811283963046104,0.14582718419580798,4,228.4907890584444,5,0,3,0,0.6064556863634988,0.555224781537281,0.8961562423126118,0,0.299826885194451,0.8112659165866429,0.13476212165473334,0.8729180281527467,0.9177749398184898,0.43237451715466535,0.1275855029291516,0.7359111803601496,0.45626932953691446,28.3756,53.7985,61.9463,Sustainability
Kedai Murah 009,1368266,30,0,4,0.10480398953958903,12,0.5274863787953358,0.7478526265248534,0.15731859396127024,2,255.55376796688117,2,1,2,0,0.6458770821447191,0.027164735960724773,0.02510267584954251,1,0.8681206051756855,0.5576138806361502,0.5623249328857128,0.08336698449005708,0.43913135660926994,0.11529880226436073,0.7454940348559663,0.5780985408471108,0.6570512135443966,18.9764,14.1922,54.5466,Sustainability
Gerai Indah 010,1287498,53,1,6,0.9582984830713006,13,0.5522754525804121,0.9273149590751225,0.7977524500959006,4,1352.289271829395,17,0,4,0,0.2063707372959106,0.4638541159484615,0.01265495852029952,0,0.41709013713028265,0.02886924016793513,0.9025437551819396,0.4751501040127579,0.9163302658010338,0.2681467998822221,0.6770188228529029,0.19201099454162307,0.7544608710201833,42.8498,68.3319,40.6387,Equity
Warung Murni 011,1312727,69,1,4,0.8546738702503017,21,0.08944824842484578,0.553083451397992,0.8290171339614553,3,126.33922319573738,1,1,3,0,0.8274027247217929,0.3998834900325485,0.29916917000958265,1,0.5325873593211395,0.9981478035525175,0.5103326384747843,0.5795279626428146,0.48397004289028545,0.41276559213733566,0.22849767242008678,0.7383384410796686,0.7798306596395465,15.8353,74.187,72.241,Equity
Kedai Murni 012,1326324,26,1,3,0.07849242446690641,33,0.6611351469183497,0.4476423347175553,0.5600025406387292,4,64.74562346356372,1,0,2,0,0.9521144788133501,0.1940929784961385,0.4972541800821906,0,0.1426872898303545,0.6397873180596402,0.12329597862888564,0.14464345474338025,0.8983527197696507,0.5873814981396809,0.20857413580359407,0.986276063613092,0.6994418002666842,26.2489,48.1397,83.8178,Sustainability
